ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
87884,Canchimalero,0.4657111070612902,-0.022850384790222385,1.252967369864696,-0.02748279787451021,0.0,0.0,1.7529977404336838,-0.07681796445798758,6.491613240994956,-0.5606395886877519,0.1311283576317114,M,M,1,XS,0,0.15211941249645805
87889,Sanquiamba,-1.1605920836736403,-0.1165562419621399,1.7655091183166298,0.26287705579012766,0.0,0.0,0.0,-0.04569846153861138,6.224288737635158,-0.43063164722688924,0.10061037869509012,S,M,1,XS,0,-0.1591851440321772
87891,Mulato,-0.7174257379404531,-0.10850755229072123,1.7441954133655697,0.1486113034148553,0.0,0.0,0.0,-0.04809708960969783,6.271457129081146,-0.4312790008574544,-0.5842544372500676,S,M,1,XS,0,-0.16188900430828837
87949,Ilha São Domingos,-0.9810680631373435,1.0028899506960474,0.6718594597629506,-0.0519950250297251,0.0,0.0,2.1951106847616537,0.08386958862344192,7.470958868750701,-0.19819273472768112,-0.41913602087426977,S,M,1,S,0,0.05999606670948276
87952,Ilha Buiuçu,0.015800010457638777,0.893984178582244,0.6442785832444281,0.01919740910860897,0.0,0.0,2.0563639178822504,0.08444498534567768,7.470630038960062,-0.2009443950502309,1.0557587340369834,M,M,1,M,0,1.079595668292311
87954,Ilha Santarém,-0.23020763581579262,0.9750550729444748,0.869474215233378,0.3827423487131864,0.0,0.0,1.7977612171953952,0.08481537447295848,7.870763580338439,-0.19255406658085475,-0.06276996745146898,S,L,1,XS,0,-0.06642866345616566
87955,Ilha Sirituba,-0.049622233606347335,1.0057523295073363,1.3354310235886748,0.13154514241556067,0.0,0.0,2.090713134801058,0.07218851171126937,7.689827479173634,-0.26123813658976214,0.6459380464010076,M,M,1,S,0,0.6736380565254128
87957,Ilha de Palhêta,-0.2941659374458735,0.8820519163298344,1.2525225285010717,0.24597040763169323,0.0,0.0,2.0686886715453197,0.09340455318447524,7.726875635585725,-0.18517985066225787,0.34366384264046396,S,M,1,S,0,0.1745976914088809
87961,Ilha do Comandaí,-1.441483089657161,0.40442929959959106,0.8474707400840663,-0.18875471934306118,0.0,2.2584916265744814,2.1576496953763913,0.07268571156575943,7.676604535774269,-0.2665432823527579,1.2123369629845806,S,M,1,S,0,0.04632487657953325
87963,Ilha de Santana,-0.31617276224794943,0.8836660977956123,1.432712521737028,0.08108232545200353,0.0,0.0,2.090935429305863,0.07696959824772641,7.879632850524864,-0.16664712041269375,0.6979740814603117,S,L,1,XS,0,-0.07131687810308267
87964,Ilha Grande de Taiaçuí,-1.3099530507986665,0.29846774073567783,0.746805162862869,0.006283734473862253,0.0,0.0,1.8842032395017376,0.08894508732530704,7.388850236103581,-0.21583942036168516,0.23376382781399338,S,M,1,XS,0,-0.14556800109856738
87965,Ilha dos Macacos,-0.9923896061028497,1.042771047595577,0.7145530226203594,0.285916684940958,0.0,0.0,2.4369918955633763,0.07844484638620329,7.270420028021165,-0.16022277991917871,1.9692005134808652,S,M,1,M,0,0.8181567132279169
87969,Ilha Tapuia,-1.0323287538793646,0.9486770631806035,0.7044859260023583,0.21507574324897444,0.0,2.8175758382616345,2.2317743044783294,0.07897670555902771,7.210658535085406,-0.08147732920407995,-0.6050376664718757,S,M,1,S,0,-0.009552417983233483
87971,Ilha Ituquara,-1.055616420597429,0.7702773235908786,0.6991148416555372,0.00939131107798071,0.0,0.0,2.311665336534843,0.08406026207611883,7.242987651850511,-0.09251789302909837,0.7801480617000875,S,M,1,S,0,0.12553198140136648
87972,Ilha Urutaí,-1.1341877816412131,0.5659146614754877,0.6973593361165116,-0.014837573175986494,0.0,1.98225289739859,2.298967350897808,0.09330778073099993,7.406878578488889,-0.1283841091172231,-1.0670050247265703,S,M,1,S,1,0.1595067188206968
87974,Ilha Aranaí,-1.0544921740423043,0.6079684691980142,0.7489871232972726,-0.030388961222120876,0.0,0.0,1.9039957005296897,0.08332526876021622,7.240024031843456,-0.08614727480807641,0.8258922713711341,S,M,1,S,0,-0.038786411526383284
87975,Ilha Japichaua,-1.1026823832884007,1.0210440031739343,0.765717350769529,0.17947377121055924,0.0,0.0,2.373287140113114,0.07914962174320882,7.105416394515467,-0.058679970944920494,-0.18571643351449654,S,M,1,M,0,0.4971025075596435
87976,Ilha Santa Cruz,-0.9891890385847015,0.6249737698786865,0.8746279053356589,0.12681761181476114,0.0,0.0,2.324122265564353,0.08826273013230726,7.047989925244557,-0.003520345892685543,-0.645503192755108,S,M,1,S,0,-0.10060112725060669
87979,Ilha do Mututi,-1.061568876309846,0.8999480153609708,0.783043646988349,-0.04458926589730733,0.0,0.0,2.337145445538891,0.08592574252603873,7.167669852607059,-0.06380430462606874,1.0192879319343344,S,M,1,S,0,0.37377245577998236
